TB BLOCK_SIZE REPS X SHARED_MEM_ARRAY_SIZE EXEC_TIME(ms) ENERGY(mJ) GB/s
256 960 369 182 1920 1543.54023 130924.18582592000000000000 128.407820
256 960 369 182 960 1881.25527 164348.21740274500000000000 103.073945
256 960 369 182 6720 1587.61242 129795.54094493779819770617 124.766804
256 960 185 364 1920 1550.87916 132029.62398972723457554983 127.942492
256 960 185 364 960 1961.50118 172147.99886884500000000000 102.735724
256 960 185 364 6720 1587.07559 129832.89739646588534619683 125.103639
256 960 185 364 3840 1504.94138 126391.41773002000000000000 132.013200
260 1024 362 168 1024 1895.06454 163715.02976856000000000000 101.117569
260 1024 362 168 2048 1506.89509 127278.48441251500000000000 128.996019
260 1024 362 168 3072 1523.23573 127986.82442299000000000000 127.588691
260 1024 362 168 4096 1468.97516 122573.85497583000000000000 132.269230
260 1024 362 168 6144 1442.07821 119876.05586881729190511127 134.718500
260 1024 362 168 7168 1545.69855 125739.13339049000000000000 125.706410
260 1024 362 168 8192 1541.06705 124741.66614409500000000000 125.098871
260 1024 362 168 12288 1480.56403 120164.84733444000000000000 131.423550
