TB BLOCK_SIZE REPS X EXEC_TIME(ms) ENERGY(mJ) GB/s
256 992 185 352 1540.99115 125575.92890875905947197814 128.731664
256 960 369 182 1524.71979 124402.68244053021443587539 129.933504
256 960 185 364 1533.03467 125330.71661818000000000000 129.575553
260 1024 368 168 1522.44334 124218.81127978292990989421 129.762291
260 1024 184 336 1524.78283 124544.57983354132581240975 129.520298
176 992 185 512 1543.90394 126093.77045233427649769585 128.464139
208 1024 46 1680 1524.73857 124392.54367131185521141539 129.575236
128 960 368 364 1525.77652 124591.28074478099254619804 129.523512
221 1024 47 1576 1553.86659 127420.95731277012376469329 129.424062
260 960 46 1432 1527.00453 124379.46613860271192312101 129.236246
224 1024 46 1560 1525.83320 124574.27640760660860383926 129.472224
208 960 184 448 1526.53246 124722.86140643489537424573 129.348342
208 1024 184 420 1526.48908 124760.86491555215305865107 129.350407
260 1024 46 1344 1526.32029 124646.08211938228829724087 129.515931
104 1024 368 420 1526.77037 124733.58010785968820389013 129.429099
221 992 184 408 1533.36114 125314.56272154786172509831 128.804717
224 992 46 1608 1526.83051 124630.15561125500000000000 129.157064
256 1024 93 680 1536.26564 125731.44960442060837209302 129.501903
130 1024 46 2688 1527.09549 124768.77314749350417120735 129.281440
224 960 184 416 1527.22510 124753.81628995500000000000 129.294054
176 960 47 2112 1556.26801 127653.67393463000000000000 129.326508
221 992 368 204 1541.72322 126003.19406023408203325464 128.105141
224 1024 184 390 1527.81029 124770.46072361000000000000 129.183624
104 1024 184 840 1529.49761 125013.25577599972639061267 129.177245
208 960 46 1792 1524.28028 124380.71982873500000000000 129.615063
182 1024 46 1920 1527.61092 124736.33343390711946389448 129.311294
130 1024 368 336 1526.05521 124591.75048998383161035176 129.474246
224 992 92 804 1540.13280 125530.73298250500000000000 127.938997
208 1024 92 840 1524.55127 124392.87727819000000000000 129.585843
224 960 46 1664 1525.69297 124491.36095163000000000000 129.366149
247 928 368 195 1533.24717 125057.71867955467548756693 128.738294
234 928 46 1648 1531.82785 124800.96887818000000000000 128.854762
156 1024 367 280 1520.80907 124012.21315723000000000000 129.604139
224 1024 92 780 1526.44856 124588.15121779000000000000 129.412210
195 1024 184 448 1528.22576 124826.37361523971820206356 129.190136
104 960 367 448 1522.63576 124299.71047629452760877051 129.279419
130 1024 184 672 1531.57136 125299.00371279309391983194 128.941877
260 1024 92 672 1524.28270 124367.18707281500000000000 129.518827
208 928 185 462 1540.67098 125644.96926843583802680133 128.439762
